timestamp,readableTimestamp,m&r-1,m&r-2,m&r-5,m&r-10,m&r-20,m&r-50,m&r-100,basket-1,basket-2,basket-5,basket-10,basket-20,basket-50,basket-100
1618444800000,"4/15/2021, 12:00:00 AM",2.175250617630153,2.3329393158177103,2.5662638194829865,2.637259787803434,2.70466938951901,2.7937833767962488,2.8636191010441263,2.164089924454924,2.726782174611452,4.111819897737839,5.107871120408271,4.3019308564625645,5.087162108420172,6.649322677683336
1618531200000,"4/16/2021, 12:00:00 AM",2.186648938608174,2.357996452180151,2.5857056067812803,2.670865352595668,2.7453781283594876,2.843443656965724,2.9195356003334854,2.1769299713599053,2.7904083650664804,4.0985271457603805,5.164728302316629,4.429807161598622,5.570628942148267,7.120371593146085
1618617600000,"4/17/2021, 12:00:00 AM",2.131111994434524,2.29394724265058,2.507257914599706,2.6320230689643758,2.7173731556707184,2.8178180377331072,2.8941420236406747,2.118958480020792,2.700758852940851,3.888422631685608,5.049507572699436,4.3834431859195035,6.489818589555409,7.6704064405384065
1618704000000,"4/18/2021, 12:00:00 AM",2.0866018643411914,2.2401075228030893,2.4479295971366857,2.559936283454399,2.642490111951141,2.7448955379576065,2.8241215900998995,2.076803726552976,2.6260089445897035,3.8451882050670623,4.9379894034818035,4.278953366382017,6.033618905381237,7.567801519683804
1618790400000,"4/19/2021, 12:00:00 AM",1.9531773663409893,2.105851405455413,2.296035742855579,2.40491554506244,2.488803150748908,2.5815673182517416,2.6545000648254247,1.9394987892917812,2.4899966549981665,3.5123926376366277,4.5738199347246615,3.9223582781885735,5.896660973422885,7.0636075561135305
1618876800000,"4/20/2021, 12:00:00 AM",1.9337680144426248,2.0758442392700287,2.285249868919002,2.3834528626173968,2.4583357757870052,2.541084523823817,2.607390317708669,1.9199353166830273,2.4275976399662853,3.327212742667235,4.425385243253358,3.722326625037416,6.028820813179561,6.855327036771405
1618963200000,"4/21/2021, 12:00:00 AM",1.9560087773921033,2.1245441563480303,2.3387091712301955,2.4410742435673844,2.5210027985268724,2.607274429010324,2.6741486187199457,1.9396980565787525,2.5432523495314827,3.4421263406897986,4.769513688807327,3.9753526674670474,5.860170870687609,6.83516249070372
1619049600000,"4/22/2021, 12:00:00 AM",1.8773226875825384,2.064228077103809,2.2636706836549005,2.364357845394615,2.4386993138222306,2.5230842453325875,2.5896387672874814,1.8671796927716409,2.540309934769195,3.344349951368617,4.580600056374495,3.80315743856518,5.6551154292609,6.605886261885405
1619136000000,"4/23/2021, 12:00:00 AM",1.8003452405949592,2.0079170620487385,2.186624424918093,2.2802343971169194,2.3483685615574093,2.4267379031257295,2.4873442446232183,1.7905319164888494,2.5375726970124486,3.1963586607224226,4.341019288484333,3.553393565535492,5.212676581559521,6.024896985897192
1619222400000,"4/24/2021, 12:00:00 AM",1.7735942574681882,1.972919913865604,2.1549309593194192,2.242139698509527,2.3086943249940903,2.386403264691793,2.446455651124412,1.763847657323093,2.482368579845565,3.1279662481826453,4.31799200822277,3.5435058356655,5.081989745136336,5.905176512729896
