timestamp,readableTimestamp,moonRug10,moonRug20,moonRug50,moonRug100,equalWeight10,equalWeight20,equalWeight50,equalWeight100,squareRoot10,squareRoot20,squareRoot50,squareRoot100,moonRug10_cap20p,moonRug20_cap10p,moonRug20_cap20p,moonRug50_cap5p,moonRug50_cap10p,moonRug50_cap20p,moonRug100_cap5p,moonRug100_cap10p,moonRug100_cap20p
1612483200000,"2/5/2021, 12:00:00 AM",1.49731936,1.51407496,1.52448398,1.54398264,1.72629809,1.74963002,1.7689044,2.04255889,1.64731361,1.68781274,1.70968717,1.84217509,1.72920283,1.77641506,1.75209591,1.76509971,1.7560502,1.74879963,1.83115951,1.80500957,1.78648448
1612569600000,"2/6/2021, 12:00:00 AM",1.57189523,1.58862225,1.60383203,1.62797706,1.85971674,1.86282846,1.91147827,2.22277877,1.75078438,1.78607851,1.82759735,1.98404796,1.84081597,1.88237107,1.85443126,1.88974142,1.8707393,1.85889157,1.96820736,1.93136832,1.90436334
1612656000000,"2/7/2021, 12:00:00 AM",1.59289235,1.61008388,1.62170442,1.64239932,1.88975183,1.88114494,1.89653847,2.17845727,1.7736151,1.80836797,1.83107806,1.96843429,1.8674426,1.91637532,1.87922676,1.90215685,1.88854425,1.8719643,1.97004958,1.9384163,1.90936834
1612742400000,"2/8/2021, 12:00:00 AM",1.56143347,1.58463728,1.59954917,1.62122515,1.89356238,1.91227648,1.93033003,2.19702797,1.75320004,1.80914287,1.84246235,1.97809297,1.84727735,1.92553413,1.87191876,1.93250691,1.89950468,1.86611414,1.99350169,1.946872,1.90163962
1612828800000,"2/9/2021, 12:00:00 AM",1.77703847,1.79341643,1.80863846,1.82921126,2.04767515,2.04108596,2.11415618,2.39158723,1.93789667,1.97405503,2.02467023,2.16505357,2.0214604,2.07480063,2.03892613,2.09261771,2.06713182,2.0457699,2.16040781,2.11995232,2.08538527
1612915200000,"2/10/2021, 12:00:00 AM",1.81064066,1.82930759,1.8532117,1.87915994,2.16791599,2.15886414,2.27702494,2.5895606,2.01207776,2.0530206,2.13884656,2.30442799,2.11054366,2.16969802,2.11853087,2.22218358,2.17867961,2.13705231,2.29884399,2.23945404,2.18263314
1613001600000,"2/11/2021, 12:00:00 AM",1.80523637,1.82853817,1.85891017,1.88991709,2.2902682,2.2544509,2.37624887,2.72463113,2.07942952,2.12151716,2.21766969,2.40192813,2.2308016,2.30182599,2.21273769,2.3304081,2.30161324,2.21812094,2.41718857,2.35950287,2.26153816
1613088000000,"2/12/2021, 12:00:00 AM",1.87880581,1.90109742,1.93514347,1.97404155,2.34793122,2.32449899,2.49118675,2.93345207,2.14131121,2.18552497,2.30629591,2.54313933,2.28567491,2.35593814,2.26996586,2.41076017,2.37250473,2.2888578,2.52706804,2.45613628,2.35158146
1613174400000,"2/13/2021, 12:00:00 AM",1.92331753,1.94851292,1.98876814,2.03387132,2.55012944,2.47072736,2.62403948,3.09512178,2.26682725,2.30270061,2.42771663,2.68314373,2.44458298,2.52282076,2.40450184,2.56556367,2.5281978,2.41308012,2.68947577,2.61289642,2.47660409
1613260800000,"2/14/2021, 12:00:00 AM",1.91827014,1.94824501,1.99546447,2.04517271,2.61104786,2.53453734,2.71651503,3.18443221,2.28691563,2.33465807,2.48347284,2.74952861,2.45876451,2.55594347,2.42489243,2.63857874,2.57225671,2.44103925,2.76013664,2.66242013,2.50866182
